id,phase,priority,task,description,depends_on,status,reviewed,notes
F001,1,P0,项目结构重构,将demo代码迁移到规范的src/目录结构,,done,yes,参考frontend_plan.md目录结构
F002,1,P0,TypeScript类型定义,创建src/types/index.ts定义所有接口类型,,done,yes,FileItem/TargetRoot/CategoryPreset/PreviewOperation等
F003,1,P0,Zustand Store实现,创建src/store/useAppStore.ts实现全局状态管理,F002,done,yes,包含所有状态和Actions
F004,1,P0,API基础封装,创建src/services/api.ts封装fetch请求,F002,done,yes,统一错误处理和响应解析
F005,1,P0,Button组件,创建src/components/Button.tsx通用按钮,,done,yes,支持variant/size/disabled等props
F006,1,P0,Modal组件,创建src/components/Modal.tsx模态框基础组件,F005,done,yes,支持isOpen/onClose/title等props
F007,1,P0,ConfirmDialog组件,创建src/components/ConfirmDialog.tsx确认对话框,F006,done,yes,基于Modal组件封装
F008,1,P1,configService,创建src/services/configService.ts配置相关API,F004,todo,no,getConfig/addWatcher/removeWatcher等
F009,1,P1,fileService,创建src/services/fileService.ts文件相关API,F004,done,yes,listFiles/getThumbnail/getMetadata
F010,1,P1,previewService,创建src/services/previewService.ts预览API,F004,done,yes,calculatePreview
F011,1,P1,executeService,创建src/services/executeService.ts执行API,F004,done,yes,execute/getTaskProgress
F012,1,P1,historyService,创建src/services/historyService.ts历史API,F004,todo,no,getHistory/getDetail/undo
F013,2,P0,文件网格组件,创建src/features/file-explorer/FileGrid.tsx文件网格展示,"F003,F009",done,yes,支持虚拟滚动
F014,2,P0,文件卡片组件,创建src/features/file-explorer/FileCard.tsx单个文件卡片,F013,done,yes,显示缩略图/名称/大小/类型
F015,2,P0,文件选择Hook,创建src/hooks/useFileSelection.ts文件选择逻辑,F003,done,yes,单击/Ctrl+点击/Shift连选
F016,2,P0,StatusIndicator组件,创建src/components/StatusIndicator.tsx状态指示灯,,done,yes,ready/auto_renamed/error三种状态
F017,2,P0,PatternMixer组件,创建src/features/pattern-mixer/PatternMixer.tsx重命名配置器,F003,done,yes,整合所有Mixer子组件
F018,2,P0,TokenSelector组件,创建src/features/pattern-mixer/TokenSelector.tsx分词选择器,F017,done,yes,显示分词按钮列表
F019,2,P0,分词工具函数,创建src/utils/tokenizer.ts智能分词算法,,done,yes,分隔符/驼峰/数字分离/去噪/去重
F020,2,P0,PreviewList组件,创建src/features/pattern-mixer/PreviewList.tsx预览列表,"F016,F010",done,yes,显示预览结果和状态指示
F021,2,P0,useDebounce Hook,创建src/hooks/useDebounce.ts防抖Hook,,done,yes,用于预览请求防抖
F022,2,P0,ExecutionView组件,创建src/features/execution/ExecutionView.tsx执行视图,"F007,F011",done,yes,进度条/日志/完成状态
F023,2,P0,useTaskPolling Hook,创建src/hooks/usePolling.ts任务轮询Hook,F011,done,yes,500ms轮询任务进度
F024,2,P1,框选功能,创建src/features/file-explorer/SelectionOverlay.tsx框选覆盖层,F015,todo,no,使用react-selecto
F025,2,P1,快捷键支持,在useFileSelection中添加Ctrl+A和Esc快捷键,F015,todo,no,
F026,2,P1,AdvancedRules组件,创建src/features/pattern-mixer/AdvancedRules.tsx高级规则,F017,todo,no,正则提取/保留后N位等
F027,2,P2,日期来源选择,在PatternMixer中添加日期来源下拉菜单,F017,todo,no,EXIF/文件创建/当前日期
F028,3,P1,AddWatcherModal组件,创建src/features/config/AddWatcherModal.tsx添加源目录,"F006,F008",todo,no,路径输入和验证
F029,3,P1,PresetEditorModal组件,创建src/features/config/PresetEditorModal.tsx预设编辑,"F006,F008,F030,F031",todo,no,名称/图标/颜色/路径/前缀
F030,3,P1,IconPicker组件,创建src/components/IconPicker.tsx图标选择器,,todo,no,Material Symbols图标网格
F031,3,P1,ColorPicker组件,创建src/components/ColorPicker.tsx颜色选择器,,todo,no,预定义颜色列表
F032,3,P1,TargetRootModal组件,创建src/features/config/TargetRootModal.tsx目标根目录编辑,"F006,F008,F030",todo,no,名称/路径/图标
F033,3,P1,预设拖拽排序,在Configuration页面实现预设拖拽排序,F029,todo,no,使用@dnd-kit/core
F034,3,P2,Configuration页面重构,重构Configuration.tsx接入真实API和模态框,"F028,F029,F032",todo,no,
F035,4,P1,HistoryList组件,创建src/features/history/HistoryList.tsx历史列表,F012,todo,no,分页/无限滚动
F036,4,P1,HistoryDetail组件,创建src/features/history/HistoryDetail.tsx历史详情,F035,todo,no,完整文件映射列表
F037,4,P1,UndoButton组件,创建src/features/history/UndoButton.tsx撤销按钮,"F007,F012",todo,no,确认对话框+API调用
F038,4,P2,History页面实现,实现完整的History页面替换占位内容,"F035,F036,F037",todo,no,
F039,5,P1,虚拟滚动优化,在FileGrid中实现虚拟滚动,F013,todo,no,使用react-virtuoso
F040,5,P1,缩略图懒加载,实现IntersectionObserver懒加载,F014,todo,no,
F041,5,P2,错误边界,添加React ErrorBoundary组件,,todo,no,捕获渲染错误
F042,5,P2,加载状态优化,统一Loading状态展示,,todo,no,Skeleton/Spinner
F043,5,P2,空状态提示,添加空状态占位组件,,todo,no,无文件/无历史等场景
F044,5,P2,响应式布局,优化移动端/平板布局,,todo,no,
